username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TheInternetBG;2016-01-31 17:58;0;1;"@TheInternetBG @thefinebros #UnsubFineBros I have you my children";;@TheInternetBG @thefinebros;#UnsubFineBros;"693946521310629888";https://twitter.com/TheInternetBG/status/693946521310629888
Mebbwebb;2016-01-31 17:58;0;0;"Congrats on 13.9 mill subs @thefinebros you guys earned it. :) https:// twitter.com/SocialBlade/st atus/693930460876017664 ";;@thefinebros;;"693946495272243200";https://twitter.com/Mebbwebb/status/693946495272243200
merksmirs;2016-01-31 17:58;0;0;"@thefinebros I get what you're saying about React and it's.. I don't get why??? but I think some of those licenses are ridiculous";;@thefinebros;;"693946495268208641";https://twitter.com/merksmirs/status/693946495268208641
SprBronySparkle;2016-01-31 17:58;0;1;"HISTORY IN THE MAKING OF TWO DUMB GREEDY PEOPLE: @thefinebros https:// akshatmittal.com/youtube-realti me/#!/TheFineBros  #UnSubTheFineBros";;@thefinebros;# #UnSubTheFineBros;"693946482567876608";https://twitter.com/SprBronySparkle/status/693946482567876608
MazeReaperz;2016-01-31 17:58;0;17;"Damn @thefinebros lost about 80k subs in like a day";;@thefinebros;;"693946421410603008";https://twitter.com/MazeReaperz/status/693946421410603008
lucasjjmusic;2016-01-31 17:58;1;5;"@EvanEdinger I understand why @thefinebros did this and I actually think that it's a pretty good idea - they just didn't put it across well";;@EvanEdinger @thefinebros;;"693946368512106496";https://twitter.com/lucasjjmusic/status/693946368512106496
Epictalal;2016-01-31 17:57;0;0;"Man! @thefinebros sub count is dropping fast. Was the trademark issue that bad?";;@thefinebros;;"693946348584984577";https://twitter.com/Epictalal/status/693946348584984577
RobeaDobe;2016-01-31 17:57;0;0;"Just wanted to thank @thefinebros for showing me how to destroy a viewer base in just two easy steps #unsubscribe";;@thefinebros;#unsubscribe;"693946174437482496";https://twitter.com/RobeaDobe/status/693946174437482496
xRedBoost;2016-01-31 17:57;2;0;"Slowly losing subscribers @thefinebros";;@thefinebros;;"693946162387136512";https://twitter.com/xRedBoost/status/693946162387136512
BipolarniMedjed;2016-01-31 17:57;0;3;"Evo sedim i gledam kako @thefinebros gube pretplatnike nakon to su pokuali da kopiraktuju re REACT";;@thefinebros;;"693946126739886080";https://twitter.com/BipolarniMedjed/status/693946126739886080
Jrockyy_;2016-01-31 17:56;0;0;"Damn fam, @thefinebros pic.twitter.com/9Y1pjRNhl1";;@thefinebros;;"693946104304373761";https://twitter.com/Jrockyy_/status/693946104304373761
Conrad_Style;2016-01-31 17:59;0;1;"@thefinebros Liars.";;@thefinebros;;"693946785010733058";https://twitter.com/Conrad_Style/status/693946785010733058
OnlyMicrolander;2016-01-31 17:59;0;0;"@thefinebros Grats on 13 million subscribers, Again? () ( ) pic.twitter.com/h32HOt56SC";;@thefinebros;;"693946731961159681";https://twitter.com/OnlyMicrolander/status/693946731961159681
ChanneledEra;2016-01-31 17:59;0;0;"I wonder how many people have actually listened to the update @thefinebros made? I bet not many.";;@thefinebros;;"693946650314706944";https://twitter.com/ChanneledEra/status/693946650314706944
merksmirs;2016-01-31 17:59;0;0;"@thefinebros Like how can you even think to compare the Internet to TV? How do you think you have the right to license half of those shows?";;@thefinebros;;"693946643935272960";https://twitter.com/merksmirs/status/693946643935272960
peachypantsu;2016-01-31 17:59;0;0;"@thefinebros lol I'm trademarking the word update you owe me 10 million dollars";;@thefinebros;;"693946633629896704";https://twitter.com/peachypantsu/status/693946633629896704
erjsdhfjnejksf;2016-01-31 17:59;0;0;"@ZackieChanYT but yes there are still going to be people who love @thefinebros like me";;@ZackieChanYT @thefinebros;;"693946614709354498";https://twitter.com/erjsdhfjnejksf/status/693946614709354498
youtalknation;2016-01-31 17:58;1;1;"Hope @thefinebros appreciate my tagline this week! https://www. youtube.com/watch?v=roCTtd Zfv-8  pic.twitter.com/zLYiPVDq5i";;@thefinebros;;"693946607289630720";https://twitter.com/youtalknation/status/693946607289630720
MrNobre;2016-01-31 17:58;8;19;"Safety trainer: *points at poster*

So in order to respond to a fire you must... @thefinebros : c u in court pic.twitter.com/HyoZ64p9cV";;@thefinebros;;"693946592680783872";https://twitter.com/MrNobre/status/693946592680783872
ControlDeNES;2016-01-31 17:58;0;0;"I heard that @thefinebros are losings youtube subscribers for not being transparent...";;@thefinebros;;"693946574301458432";https://twitter.com/ControlDeNES/status/693946574301458432
TheInternetBG;2016-01-31 17:58;0;1;"@TheInternetBG @thefinebros #UnsubFineBros I have you my children";;@TheInternetBG @thefinebros;#UnsubFineBros;"693946521310629888";https://twitter.com/TheInternetBG/status/693946521310629888
Mebbwebb;2016-01-31 17:58;0;0;"Congrats on 13.9 mill subs @thefinebros you guys earned it. :) https:// twitter.com/SocialBlade/st atus/693930460876017664 ";;@thefinebros;;"693946495272243200";https://twitter.com/Mebbwebb/status/693946495272243200
merksmirs;2016-01-31 17:58;0;0;"@thefinebros I get what you're saying about React and it's.. I don't get why??? but I think some of those licenses are ridiculous";;@thefinebros;;"693946495268208641";https://twitter.com/merksmirs/status/693946495268208641
SprBronySparkle;2016-01-31 17:58;0;1;"HISTORY IN THE MAKING OF TWO DUMB GREEDY PEOPLE: @thefinebros https:// akshatmittal.com/youtube-realti me/#!/TheFineBros  #UnSubTheFineBros";;@thefinebros;# #UnSubTheFineBros;"693946482567876608";https://twitter.com/SprBronySparkle/status/693946482567876608
MazeReaperz;2016-01-31 17:58;0;17;"Damn @thefinebros lost about 80k subs in like a day";;@thefinebros;;"693946421410603008";https://twitter.com/MazeReaperz/status/693946421410603008
lucasjjmusic;2016-01-31 17:58;1;5;"@EvanEdinger I understand why @thefinebros did this and I actually think that it's a pretty good idea - they just didn't put it across well";;@EvanEdinger @thefinebros;;"693946368512106496";https://twitter.com/lucasjjmusic/status/693946368512106496
Epictalal;2016-01-31 17:57;0;0;"Man! @thefinebros sub count is dropping fast. Was the trademark issue that bad?";;@thefinebros;;"693946348584984577";https://twitter.com/Epictalal/status/693946348584984577
RobeaDobe;2016-01-31 17:57;0;0;"Just wanted to thank @thefinebros for showing me how to destroy a viewer base in just two easy steps #unsubscribe";;@thefinebros;#unsubscribe;"693946174437482496";https://twitter.com/RobeaDobe/status/693946174437482496
xRedBoost;2016-01-31 17:57;2;0;"Slowly losing subscribers @thefinebros";;@thefinebros;;"693946162387136512";https://twitter.com/xRedBoost/status/693946162387136512
BipolarniMedjed;2016-01-31 17:57;0;3;"Evo sedim i gledam kako @thefinebros gube pretplatnike nakon to su pokuali da kopiraktuju re REACT";;@thefinebros;;"693946126739886080";https://twitter.com/BipolarniMedjed/status/693946126739886080
Jrockyy_;2016-01-31 17:56;0;0;"Damn fam, @thefinebros pic.twitter.com/9Y1pjRNhl1";;@thefinebros;;"693946104304373761";https://twitter.com/Jrockyy_/status/693946104304373761
Conrad_Style;2016-01-31 17:59;0;1;"@thefinebros Liars.";;@thefinebros;;"693946785010733058";https://twitter.com/Conrad_Style/status/693946785010733058
OnlyMicrolander;2016-01-31 17:59;0;0;"@thefinebros Grats on 13 million subscribers, Again? () ( ) pic.twitter.com/h32HOt56SC";;@thefinebros;;"693946731961159681";https://twitter.com/OnlyMicrolander/status/693946731961159681
ChanneledEra;2016-01-31 17:59;0;0;"I wonder how many people have actually listened to the update @thefinebros made? I bet not many.";;@thefinebros;;"693946650314706944";https://twitter.com/ChanneledEra/status/693946650314706944
merksmirs;2016-01-31 17:59;0;0;"@thefinebros Like how can you even think to compare the Internet to TV? How do you think you have the right to license half of those shows?";;@thefinebros;;"693946643935272960";https://twitter.com/merksmirs/status/693946643935272960
peachypantsu;2016-01-31 17:59;0;0;"@thefinebros lol I'm trademarking the word update you owe me 10 million dollars";;@thefinebros;;"693946633629896704";https://twitter.com/peachypantsu/status/693946633629896704
erjsdhfjnejksf;2016-01-31 17:59;0;0;"@ZackieChanYT but yes there are still going to be people who love @thefinebros like me";;@ZackieChanYT @thefinebros;;"693946614709354498";https://twitter.com/erjsdhfjnejksf/status/693946614709354498
youtalknation;2016-01-31 17:58;1;1;"Hope @thefinebros appreciate my tagline this week! https://www. youtube.com/watch?v=roCTtd Zfv-8  pic.twitter.com/zLYiPVDq5i";;@thefinebros;;"693946607289630720";https://twitter.com/youtalknation/status/693946607289630720
MrNobre;2016-01-31 17:58;8;19;"Safety trainer: *points at poster*

So in order to respond to a fire you must... @thefinebros : c u in court pic.twitter.com/HyoZ64p9cV";;@thefinebros;;"693946592680783872";https://twitter.com/MrNobre/status/693946592680783872
ControlDeNES;2016-01-31 17:58;0;0;"I heard that @thefinebros are losings youtube subscribers for not being transparent...";;@thefinebros;;"693946574301458432";https://twitter.com/ControlDeNES/status/693946574301458432
TheInternetBG;2016-01-31 17:58;0;1;"@TheInternetBG @thefinebros #UnsubFineBros I have you my children";;@TheInternetBG @thefinebros;#UnsubFineBros;"693946521310629888";https://twitter.com/TheInternetBG/status/693946521310629888
Mebbwebb;2016-01-31 17:58;0;0;"Congrats on 13.9 mill subs @thefinebros you guys earned it. :) https:// twitter.com/SocialBlade/st atus/693930460876017664 ";;@thefinebros;;"693946495272243200";https://twitter.com/Mebbwebb/status/693946495272243200
merksmirs;2016-01-31 17:58;0;0;"@thefinebros I get what you're saying about React and it's.. I don't get why??? but I think some of those licenses are ridiculous";;@thefinebros;;"693946495268208641";https://twitter.com/merksmirs/status/693946495268208641
SprBronySparkle;2016-01-31 17:58;0;1;"HISTORY IN THE MAKING OF TWO DUMB GREEDY PEOPLE: @thefinebros https:// akshatmittal.com/youtube-realti me/#!/TheFineBros  #UnSubTheFineBros";;@thefinebros;# #UnSubTheFineBros;"693946482567876608";https://twitter.com/SprBronySparkle/status/693946482567876608
MazeReaperz;2016-01-31 17:58;0;17;"Damn @thefinebros lost about 80k subs in like a day";;@thefinebros;;"693946421410603008";https://twitter.com/MazeReaperz/status/693946421410603008
lucasjjmusic;2016-01-31 17:58;1;5;"@EvanEdinger I understand why @thefinebros did this and I actually think that it's a pretty good idea - they just didn't put it across well";;@EvanEdinger @thefinebros;;"693946368512106496";https://twitter.com/lucasjjmusic/status/693946368512106496
Epictalal;2016-01-31 17:57;0;0;"Man! @thefinebros sub count is dropping fast. Was the trademark issue that bad?";;@thefinebros;;"693946348584984577";https://twitter.com/Epictalal/status/693946348584984577
RobeaDobe;2016-01-31 17:57;0;0;"Just wanted to thank @thefinebros for showing me how to destroy a viewer base in just two easy steps #unsubscribe";;@thefinebros;#unsubscribe;"693946174437482496";https://twitter.com/RobeaDobe/status/693946174437482496
xRedBoost;2016-01-31 17:57;2;0;"Slowly losing subscribers @thefinebros";;@thefinebros;;"693946162387136512";https://twitter.com/xRedBoost/status/693946162387136512
BipolarniMedjed;2016-01-31 17:57;0;3;"Evo sedim i gledam kako @thefinebros gube pretplatnike nakon to su pokuali da kopiraktuju re REACT";;@thefinebros;;"693946126739886080";https://twitter.com/BipolarniMedjed/status/693946126739886080
Jrockyy_;2016-01-31 17:56;0;0;"Damn fam, @thefinebros pic.twitter.com/9Y1pjRNhl1";;@thefinebros;;"693946104304373761";https://twitter.com/Jrockyy_/status/693946104304373761
Conrad_Style;2016-01-31 17:59;0;1;"@thefinebros Liars.";;@thefinebros;;"693946785010733058";https://twitter.com/Conrad_Style/status/693946785010733058
OnlyMicrolander;2016-01-31 17:59;0;0;"@thefinebros Grats on 13 million subscribers, Again? () ( ) pic.twitter.com/h32HOt56SC";;@thefinebros;;"693946731961159681";https://twitter.com/OnlyMicrolander/status/693946731961159681
ChanneledEra;2016-01-31 17:59;0;0;"I wonder how many people have actually listened to the update @thefinebros made? I bet not many.";;@thefinebros;;"693946650314706944";https://twitter.com/ChanneledEra/status/693946650314706944
merksmirs;2016-01-31 17:59;0;0;"@thefinebros Like how can you even think to compare the Internet to TV? How do you think you have the right to license half of those shows?";;@thefinebros;;"693946643935272960";https://twitter.com/merksmirs/status/693946643935272960
peachypantsu;2016-01-31 17:59;0;0;"@thefinebros lol I'm trademarking the word update you owe me 10 million dollars";;@thefinebros;;"693946633629896704";https://twitter.com/peachypantsu/status/693946633629896704
erjsdhfjnejksf;2016-01-31 17:59;0;0;"@ZackieChanYT but yes there are still going to be people who love @thefinebros like me";;@ZackieChanYT @thefinebros;;"693946614709354498";https://twitter.com/erjsdhfjnejksf/status/693946614709354498
youtalknation;2016-01-31 17:58;1;1;"Hope @thefinebros appreciate my tagline this week! https://www. youtube.com/watch?v=roCTtd Zfv-8  pic.twitter.com/zLYiPVDq5i";;@thefinebros;;"693946607289630720";https://twitter.com/youtalknation/status/693946607289630720
MrNobre;2016-01-31 17:58;8;19;"Safety trainer: *points at poster*

So in order to respond to a fire you must... @thefinebros : c u in court pic.twitter.com/HyoZ64p9cV";;@thefinebros;;"693946592680783872";https://twitter.com/MrNobre/status/693946592680783872
ControlDeNES;2016-01-31 17:58;0;0;"I heard that @thefinebros are losings youtube subscribers for not being transparent...";;@thefinebros;;"693946574301458432";https://twitter.com/ControlDeNES/status/693946574301458432
TheInternetBG;2016-01-31 17:58;0;1;"@TheInternetBG @thefinebros #UnsubFineBros I have you my children";;@TheInternetBG @thefinebros;#UnsubFineBros;"693946521310629888";https://twitter.com/TheInternetBG/status/693946521310629888
Mebbwebb;2016-01-31 17:58;0;0;"Congrats on 13.9 mill subs @thefinebros you guys earned it. :) https:// twitter.com/SocialBlade/st atus/693930460876017664 ";;@thefinebros;;"693946495272243200";https://twitter.com/Mebbwebb/status/693946495272243200
merksmirs;2016-01-31 17:58;0;0;"@thefinebros I get what you're saying about React and it's.. I don't get why??? but I think some of those licenses are ridiculous";;@thefinebros;;"693946495268208641";https://twitter.com/merksmirs/status/693946495268208641
SprBronySparkle;2016-01-31 17:58;0;1;"HISTORY IN THE MAKING OF TWO DUMB GREEDY PEOPLE: @thefinebros https:// akshatmittal.com/youtube-realti me/#!/TheFineBros  #UnSubTheFineBros";;@thefinebros;# #UnSubTheFineBros;"693946482567876608";https://twitter.com/SprBronySparkle/status/693946482567876608
MazeReaperz;2016-01-31 17:58;0;17;"Damn @thefinebros lost about 80k subs in like a day";;@thefinebros;;"693946421410603008";https://twitter.com/MazeReaperz/status/693946421410603008
lucasjjmusic;2016-01-31 17:58;1;5;"@EvanEdinger I understand why @thefinebros did this and I actually think that it's a pretty good idea - they just didn't put it across well";;@EvanEdinger @thefinebros;;"693946368512106496";https://twitter.com/lucasjjmusic/status/693946368512106496
Epictalal;2016-01-31 17:57;0;0;"Man! @thefinebros sub count is dropping fast. Was the trademark issue that bad?";;@thefinebros;;"693946348584984577";https://twitter.com/Epictalal/status/693946348584984577
RobeaDobe;2016-01-31 17:57;0;0;"Just wanted to thank @thefinebros for showing me how to destroy a viewer base in just two easy steps #unsubscribe";;@thefinebros;#unsubscribe;"693946174437482496";https://twitter.com/RobeaDobe/status/693946174437482496
